[Epoch 000] (Overall) rmse: 1.7276 | mae: 1.2495 | r2: -0.3824 | pearson_r: 0.1337 | spearman_r: 0.2264 | ce: -0.0000 
[Epoch 001] (Overall) rmse: 1.8327 | mae: 1.3299 | r2: -0.5556 | pearson_r: 0.0839 | spearman_r: 0.2043 | ce: -0.0000 
[Epoch 002] (Overall) rmse: 1.8060 | mae: 1.2115 | r2: -0.5107 | pearson_r: 0.0588 | spearman_r: 0.1994 | ce: -0.0000 
[Epoch 003] (Overall) rmse: 1.9168 | mae: 1.2684 | r2: -0.7017 | pearson_r: 0.0146 | spearman_r: 0.1733 | ce: -0.0000 
[Epoch 004] (Overall) rmse: 1.9078 | mae: 1.2580 | r2: -0.6857 | pearson_r: 0.0082 | spearman_r: 0.1630 | ce: -0.0000 
[Epoch 005] (Overall) rmse: 1.9498 | mae: 1.3570 | r2: -0.7607 | pearson_r: -0.0203 | spearman_r: 0.1574 | ce: -0.0000 
[Epoch 006] (Overall) rmse: 1.9690 | mae: 1.2661 | r2: -0.7956 | pearson_r: -0.0073 | spearman_r: 0.1614 | ce: -0.0000 
[Epoch 007] (Overall) rmse: 1.9581 | mae: 1.2423 | r2: -0.7757 | pearson_r: -0.0372 | spearman_r: 0.1496 | ce: -0.0000 
[Epoch 008] (Overall) rmse: 1.9365 | mae: 1.2452 | r2: -0.7368 | pearson_r: 0.0022 | spearman_r: 0.1774 | ce: -0.0000 
[Epoch 009] (Overall) rmse: 1.9556 | mae: 1.2765 | r2: -0.7713 | pearson_r: 0.0026 | spearman_r: 0.1828 | ce: -0.0000 
[Epoch 010] (Overall) rmse: 2.0520 | mae: 1.2848 | r2: -0.9503 | pearson_r: -0.0314 | spearman_r: 0.1655 | ce: -0.0000 
[Epoch 011] (Overall) rmse: 2.0498 | mae: 1.2630 | r2: -0.9459 | pearson_r: -0.0193 | spearman_r: 0.1632 | ce: -0.0000 
[Epoch 012] (Overall) rmse: 2.0347 | mae: 1.2689 | r2: -0.9175 | pearson_r: 0.0133 | spearman_r: 0.1885 | ce: -0.0000 
[Epoch 013] (Overall) rmse: 2.0015 | mae: 1.2677 | r2: -0.8553 | pearson_r: 0.0128 | spearman_r: 0.1849 | ce: -0.0000 
[Epoch 014] (Overall) rmse: 2.0966 | mae: 1.3215 | r2: -1.0359 | pearson_r: -0.0246 | spearman_r: 0.1493 | ce: -0.0000 
[Epoch 015] (Overall) rmse: 2.1334 | mae: 1.3317 | r2: -1.1079 | pearson_r: -0.0310 | spearman_r: 0.1592 | ce: -0.0000 
[Epoch 016] (Overall) rmse: 2.0478 | mae: 1.2560 | r2: -0.9423 | pearson_r: -0.0343 | spearman_r: 0.1300 | ce: -0.0000 
[Epoch 017] (Overall) rmse: 2.1060 | mae: 1.2849 | r2: -1.0541 | pearson_r: -0.0576 | spearman_r: 0.1256 | ce: -0.0000 
[Epoch 018] (Overall) rmse: 2.2042 | mae: 1.3571 | r2: -1.2502 | pearson_r: -0.0386 | spearman_r: 0.1441 | ce: -0.0000 
[Epoch 019] (Overall) rmse: 2.1036 | mae: 1.2797 | r2: -1.0495 | pearson_r: -0.0408 | spearman_r: 0.1373 | ce: -0.0000 
[Epoch 020] (Overall) rmse: 2.0487 | mae: 1.2423 | r2: -0.9439 | pearson_r: -0.0721 | spearman_r: 0.0965 | ce: -0.0000 
[Epoch 021] (Overall) rmse: 2.0217 | mae: 1.2471 | r2: -0.8930 | pearson_r: 0.0011 | spearman_r: 0.1559 | ce: -0.0000 
[Epoch 022] (Overall) rmse: 2.1539 | mae: 1.3246 | r2: -1.1486 | pearson_r: -0.0598 | spearman_r: 0.0948 | ce: -0.0000 
[Epoch 023] (Overall) rmse: 2.2231 | mae: 1.4246 | r2: -1.2890 | pearson_r: -0.0750 | spearman_r: 0.0898 | ce: -0.0000 
