[Epoch 000] (Overall) rmse: 2.2011 | mae: 1.7083 | r2: 0.3496 | pearson_r: 0.6361 | spearman_r: 0.6513 | ce: -0.0000 
[Epoch 001] (Overall) rmse: 4.3892 | mae: 3.8914 | r2: -1.5861 | pearson_r: 0.6744 | spearman_r: 0.6850 | ce: -0.0000 
[Epoch 002] (Overall) rmse: 2.0123 | mae: 1.5542 | r2: 0.4564 | pearson_r: 0.7015 | spearman_r: 0.7198 | ce: -0.0000 
[Epoch 003] (Overall) rmse: 6.4317 | mae: 6.0704 | r2: -4.5529 | pearson_r: 0.6540 | spearman_r: 0.6660 | ce: -0.0000 
[Epoch 004] (Overall) rmse: 7.6415 | mae: 7.2551 | r2: -6.8384 | pearson_r: 0.6513 | spearman_r: 0.6807 | ce: -0.0000 
[Epoch 005] (Overall) rmse: 3.9623 | mae: 3.5548 | r2: -1.1075 | pearson_r: 0.7368 | spearman_r: 0.7401 | ce: -0.0000 
[Epoch 006] (Overall) rmse: 3.6265 | mae: 3.1117 | r2: -0.7654 | pearson_r: 0.7092 | spearman_r: 0.7236 | ce: -0.0000 
[Epoch 007] (Overall) rmse: 1.9257 | mae: 1.4499 | r2: 0.5022 | pearson_r: 0.7452 | spearman_r: 0.7438 | ce: -0.0000 
[Epoch 008] (Overall) rmse: 2.5117 | mae: 2.0825 | r2: 0.1531 | pearson_r: 0.7285 | spearman_r: 0.7274 | ce: -0.0000 
[Epoch 009] (Overall) rmse: 2.5212 | mae: 2.0573 | r2: 0.1467 | pearson_r: 0.7470 | spearman_r: 0.7472 | ce: -0.0000 
[Epoch 010] (Overall) rmse: 3.9345 | mae: 3.4653 | r2: -1.0780 | pearson_r: 0.7299 | spearman_r: 0.7406 | ce: -0.0000 
[Epoch 011] (Overall) rmse: 2.5763 | mae: 2.0423 | r2: 0.1090 | pearson_r: 0.7428 | spearman_r: 0.7406 | ce: -0.0000 
[Epoch 012] (Overall) rmse: 3.3986 | mae: 2.9942 | r2: -0.5505 | pearson_r: 0.7302 | spearman_r: 0.7300 | ce: -0.0000 
[Epoch 013] (Overall) rmse: 2.0642 | mae: 1.6066 | r2: 0.4280 | pearson_r: 0.7335 | spearman_r: 0.7358 | ce: -0.0000 
[Epoch 014] (Overall) rmse: 2.2550 | mae: 1.7702 | r2: 0.3174 | pearson_r: 0.7532 | spearman_r: 0.7548 | ce: -0.0000 
[Epoch 015] (Overall) rmse: 2.8553 | mae: 2.3421 | r2: -0.0944 | pearson_r: 0.7467 | spearman_r: 0.7465 | ce: -0.0000 
[Epoch 016] (Overall) rmse: 2.3225 | mae: 1.8087 | r2: 0.2759 | pearson_r: 0.7645 | spearman_r: 0.7561 | ce: -0.0000 
[Epoch 017] (Overall) rmse: 2.1648 | mae: 1.6522 | r2: 0.3709 | pearson_r: 0.7514 | spearman_r: 0.7416 | ce: -0.0000 
[Epoch 018] (Overall) rmse: 1.9495 | mae: 1.4352 | r2: 0.4898 | pearson_r: 0.7486 | spearman_r: 0.7408 | ce: -0.0000 
[Epoch 019] (Overall) rmse: 2.1098 | mae: 1.6000 | r2: 0.4025 | pearson_r: 0.7240 | spearman_r: 0.7262 | ce: -0.0000 
[Epoch 020] (Overall) rmse: 2.4842 | mae: 1.9519 | r2: 0.1716 | pearson_r: 0.7359 | spearman_r: 0.7322 | ce: -0.0000 
[Epoch 021] (Overall) rmse: 2.2482 | mae: 1.7501 | r2: 0.3215 | pearson_r: 0.7403 | spearman_r: 0.7376 | ce: -0.0000 
[Epoch 022] (Overall) rmse: 2.4240 | mae: 1.9410 | r2: 0.2113 | pearson_r: 0.7445 | spearman_r: 0.7432 | ce: -0.0000 
[Epoch 023] (Overall) rmse: 2.3711 | mae: 1.8458 | r2: 0.2453 | pearson_r: 0.7196 | spearman_r: 0.7237 | ce: -0.0000 
[Epoch 024] (Overall) rmse: 2.1110 | mae: 1.5723 | r2: 0.4018 | pearson_r: 0.7186 | spearman_r: 0.7203 | ce: -0.0000 
[Epoch 025] (Overall) rmse: 2.0282 | mae: 1.4806 | r2: 0.4478 | pearson_r: 0.7283 | spearman_r: 0.7266 | ce: -0.0000 
[Epoch 026] (Overall) rmse: 2.0744 | mae: 1.5103 | r2: 0.4224 | pearson_r: 0.7412 | spearman_r: 0.7447 | ce: -0.0000 
[Epoch 027] (Overall) rmse: 2.3528 | mae: 1.8306 | r2: 0.2569 | pearson_r: 0.7327 | spearman_r: 0.7291 | ce: -0.0000 
[Epoch 028] (Overall) rmse: 2.2844 | mae: 1.7388 | r2: 0.2995 | pearson_r: 0.7475 | spearman_r: 0.7441 | ce: -0.0000 
[Epoch 029] (Overall) rmse: 2.0523 | mae: 1.4984 | r2: 0.4346 | pearson_r: 0.7297 | spearman_r: 0.7245 | ce: -0.0000 
[Epoch 030] (Overall) rmse: 2.3382 | mae: 1.7937 | r2: 0.2661 | pearson_r: 0.7109 | spearman_r: 0.7147 | ce: -0.0000 
[Epoch 031] (Overall) rmse: 2.0356 | mae: 1.4837 | r2: 0.4438 | pearson_r: 0.7418 | spearman_r: 0.7403 | ce: -0.0000 
[Epoch 032] (Overall) rmse: 2.2879 | mae: 1.7435 | r2: 0.2974 | pearson_r: 0.7259 | spearman_r: 0.7291 | ce: -0.0000 
[Epoch 033] (Overall) rmse: 1.9601 | mae: 1.4787 | r2: 0.4842 | pearson_r: 0.7352 | spearman_r: 0.7364 | ce: -0.0000 
[Epoch 034] (Overall) rmse: 2.1190 | mae: 1.5526 | r2: 0.3973 | pearson_r: 0.7430 | spearman_r: 0.7429 | ce: -0.0000 
[Epoch 035] (Overall) rmse: 2.0864 | mae: 1.5578 | r2: 0.4157 | pearson_r: 0.7305 | spearman_r: 0.7264 | ce: -0.0000 
[Epoch 036] (Overall) rmse: 2.1195 | mae: 1.5600 | r2: 0.3970 | pearson_r: 0.7150 | spearman_r: 0.7248 | ce: -0.0000 
[Epoch 037] (Overall) rmse: 1.9774 | mae: 1.4357 | r2: 0.4751 | pearson_r: 0.7298 | spearman_r: 0.7298 | ce: -0.0000 
[Epoch 038] (Overall) rmse: 2.1100 | mae: 1.5508 | r2: 0.4023 | pearson_r: 0.7344 | spearman_r: 0.7276 | ce: -0.0000 
[Epoch 039] (Overall) rmse: 2.0033 | mae: 1.4638 | r2: 0.4613 | pearson_r: 0.7323 | spearman_r: 0.7230 | ce: -0.0000 
[Epoch 040] (Overall) rmse: 2.1257 | mae: 1.5842 | r2: 0.3934 | pearson_r: 0.7222 | spearman_r: 0.7255 | ce: -0.0000 
[Epoch 041] (Overall) rmse: 2.0595 | mae: 1.4880 | r2: 0.4306 | pearson_r: 0.7376 | spearman_r: 0.7356 | ce: -0.0000 
[Epoch 042] (Overall) rmse: 2.1051 | mae: 1.5414 | r2: 0.4051 | pearson_r: 0.7260 | spearman_r: 0.7266 | ce: -0.0000 
[Epoch 043] (Overall) rmse: 2.3233 | mae: 1.8122 | r2: 0.2754 | pearson_r: 0.7423 | spearman_r: 0.7418 | ce: -0.0000 
[Epoch 044] (Overall) rmse: 2.0723 | mae: 1.4886 | r2: 0.4235 | pearson_r: 0.7205 | spearman_r: 0.7219 | ce: -0.0000 
[Epoch 045] (Overall) rmse: 2.1277 | mae: 1.6144 | r2: 0.3923 | pearson_r: 0.7360 | spearman_r: 0.7344 | ce: -0.0000 
[Epoch 046] (Overall) rmse: 2.1180 | mae: 1.5768 | r2: 0.3978 | pearson_r: 0.7197 | spearman_r: 0.7211 | ce: -0.0000 
[Epoch 047] (Overall) rmse: 1.9837 | mae: 1.4461 | r2: 0.4718 | pearson_r: 0.7262 | spearman_r: 0.7241 | ce: -0.0000 
[Epoch 048] (Overall) rmse: 2.1185 | mae: 1.5686 | r2: 0.3975 | pearson_r: 0.7405 | spearman_r: 0.7410 | ce: -0.0000 
[Epoch 049] (Overall) rmse: 2.1013 | mae: 1.5327 | r2: 0.4073 | pearson_r: 0.7140 | spearman_r: 0.7126 | ce: -0.0000 
[Epoch 050] (Overall) rmse: 2.3044 | mae: 1.7450 | r2: 0.2872 | pearson_r: 0.7205 | spearman_r: 0.7198 | ce: -0.0000 
[Epoch 051] (Overall) rmse: 2.0591 | mae: 1.5473 | r2: 0.4308 | pearson_r: 0.7357 | spearman_r: 0.7328 | ce: -0.0000 
[Epoch 052] (Overall) rmse: 2.0716 | mae: 1.5484 | r2: 0.4239 | pearson_r: 0.7220 | spearman_r: 0.7225 | ce: -0.0000 
[Epoch 053] (Overall) rmse: 2.0704 | mae: 1.5031 | r2: 0.4246 | pearson_r: 0.7305 | spearman_r: 0.7261 | ce: -0.0000 
[Epoch 054] (Overall) rmse: 2.2374 | mae: 1.6528 | r2: 0.3280 | pearson_r: 0.7367 | spearman_r: 0.7361 | ce: -0.0000 
[Epoch 055] (Overall) rmse: 2.1684 | mae: 1.6790 | r2: 0.3688 | pearson_r: 0.7162 | spearman_r: 0.7175 | ce: -0.0000 
[Epoch 056] (Overall) rmse: 2.2237 | mae: 1.6358 | r2: 0.3362 | pearson_r: 0.7207 | spearman_r: 0.7208 | ce: -0.0000 
[Epoch 057] (Overall) rmse: 2.5388 | mae: 1.9740 | r2: 0.1348 | pearson_r: 0.7265 | spearman_r: 0.7237 | ce: -0.0000 
[Epoch 058] (Overall) rmse: 2.1718 | mae: 1.5932 | r2: 0.3669 | pearson_r: 0.7127 | spearman_r: 0.7151 | ce: -0.0000 
[Epoch 059] (Overall) rmse: 2.1305 | mae: 1.5829 | r2: 0.3907 | pearson_r: 0.7270 | spearman_r: 0.7203 | ce: -0.0000 
[Epoch 060] (Overall) rmse: 2.1885 | mae: 1.5714 | r2: 0.3571 | pearson_r: 0.7270 | spearman_r: 0.7226 | ce: -0.0000 
[Epoch 061] (Overall) rmse: 2.1541 | mae: 1.5541 | r2: 0.3771 | pearson_r: 0.7158 | spearman_r: 0.7156 | ce: -0.0000 
[Epoch 062] (Overall) rmse: 2.1348 | mae: 1.5442 | r2: 0.3882 | pearson_r: 0.7190 | spearman_r: 0.7176 | ce: -0.0000 
[Epoch 063] (Overall) rmse: 2.0772 | mae: 1.4990 | r2: 0.4208 | pearson_r: 0.7275 | spearman_r: 0.7264 | ce: -0.0000 
[Epoch 064] (Overall) rmse: 2.1709 | mae: 1.5738 | r2: 0.3674 | pearson_r: 0.7144 | spearman_r: 0.7092 | ce: -0.0000 
[Epoch 065] (Overall) rmse: 2.0849 | mae: 1.4914 | r2: 0.4165 | pearson_r: 0.7207 | spearman_r: 0.7178 | ce: -0.0000 
